岗位名称,公司名称,薪资,所在城市,工作经验,最低薪资,最高薪资,学历,企业性质,公司规模,最高工作经验,省市,平均薪资,公司最低规模,最低工作经验,招聘人数
大数据分析师（实习生）,北京金照商贸有限公司,6千-8千,洛阳-洛龙,不限,6000,8000,大专,民营 ,20-99人 ,20,河南,7000,20,20,6
大数据开发工程师,北京天健源达科技股份有限公司,1.5万-2万,郑州-金水,5-10年,15000,2000,本科,外商独资 ,500-999人 ,10,河南,8500,500,5,2
大数据分析,北京顺意天达供应链管理有限公司,8千-1.2万,洛阳-西工,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,6
大数据审计,天瑞集团股份有限公司,6千-1万,郑州-管城,3-5年,6000,1000,本科,上市公司 ,10000人以上 ,5,河南,3500,10000,3,1
大数据讲师,中科大数据研究院,9千-1.4万,郑州-金水,1-3年,9000,14000,学历不限,事业单位 ,100-299人 ,3,河南,11500,100,1,3
大数据讲师,河南鼎华信息科技有限公司,8千-1.5万,信阳-浉河区,3-5年,8000,15000,本科,民营 ,100-299人 ,5,河南,11500,100,3,3
大数据老师,河南拓晋教育咨询有限公司,4千-6千,新乡-红旗区,1-3年,4000,6000,本科,民营 ,20-99人 ,3,河南,5000,20,1,0
大数据教师,洛阳市科技中等专业学校,3千-5千,洛阳-洛龙,1-3年,3000,5000,本科,民营 ,100-299人 ,3,河南,4000,100,1,1
大数据讲师,中国高科集团,1万-1.5万,焦作-山阳区,3-5年,1000,15000,本科,上市公司 ,500-999人 ,5,河南,8000,500,3,1
大数据开发工程师初级/实习,东方中绿农业开发有限公司,6千-1.2万,郑州-管城,1年以下,6000,12000,学历不限,民营 ,20-99人 ,1,河南,9000,20,1,3
大数据分析师（可培养）,北京佳德好商贸有限公司,8千-1.2万,郑州-中原,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,3
大数据分析师助理,北京顺意天达供应链管理有限公司,8千-1.1万,洛阳-洛龙,不限,8000,11000,大专,民营 ,20-99人 ,20,河南,9500,20,20,5
大数据分析师（无经验）,北京金照商贸有限公司,8千-1.2万,濮阳-华龙区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,6
大数据ETL工程师,河南云数大数据科技有限公司,6千-1.2万,郑州-中原,不限,6000,12000,大专,民营 ,20-99人 ,20,河南,9000,20,20,3
大数据开发 初级/实习z02,东方中绿农业开发有限公司,6千-1.2万,郑州-管城,1年以下,6000,12000,学历不限,民营 ,20-99人 ,1,河南,9000,20,1,3
大数据分析师（可培养）,北京佳德好商贸有限公司,8千-1.2万,鹤壁-淇滨区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,3
大数据分析师（无经验）,北京金照商贸有限公司,8千-1.2万,郑州-中原,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,6
大数据开发零基础实习生专业不限,郑州朋采信息科技有限公司,8千-1.4万,郑州-中原,无经验,8000,14000,学历不限,股份制企业 ,100-299人 ,0,河南,11000,100,0,0
大数据分析师（可培养）,北京佳德好商贸有限公司,8千-1.2万,平顶山-新华区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,3
高级大数据开发工程师,北京云图智联科技集团有限公司,8千-9千,洛阳-涧西,5-10年,8000,9000,本科,股份制企业 ,100-299人 ,10,河南,8500,100,5,1
大数据分析师（无经验）,北京金照商贸有限公司,8千-1.2万,焦作-山阳区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,6
大数据解决方案工程师（金水区-双休六险一金）,武汉佰钧成技术有限责任公司,5千-8千,郑州-金水,1-3年,5000,8000,大专,民营 ,1000-9999人 ,3,河南,6500,1000,1,1
大数据分析师（可培养）,北京佳德好商贸有限公司,8千-1.2万,洛阳-洛龙,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,3
大数据平台解决方案,杭州东方通信软件技术有限公司,6千-1.2万,郑州-管城,1-3年,6000,12000,大专,国企 ,500-999人 ,3,河南,9000,500,1,1
大数据分析师,北京金照商贸有限公司,8千-1.2万,洛阳-洛龙,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,5
大数据分析岗,北京顺意天达供应链管理有限公司,8千-1.2万,平顶山-新华区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,3
大数据开发工程师助理,郑州朋采信息科技有限公司,6千-1.2万,郑州-中原,无经验,6000,12000,大专,股份制企业 ,100-299人 ,0,河南,9000,100,0,0
大数据分析师（可培养）,北京佳德好商贸有限公司,8千-1.2万,开封-龙亭区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,3
数据统计分析,北京富辉旺商贸有限公司,8千-1.2万,洛阳-洛龙,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,6
大数据开发助理,郑州百尚网络科技有限公司,4千-6千,郑州,无经验,4000,6000,大专,民营 ,20-99人 ,0,河南,5000,20,0,4
大数据开发工程师,八六三软件,8千-1.2万,郑州-中原,1-3年,8000,12000,本科,国企 ,500-999人 ,3,河南,10000,500,1,1
大数据分析师,河南公路项目管理有限责任公司,6千-8千,郑州-惠济,不限,6000,8000,硕士,国企 ,500-999人 ,20,河南,7000,500,20,1
大数据分析师（可培养）,北京佳德好商贸有限公司,8千-1.2万,安阳-文峰区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,3
大数据分析师,北京富辉旺商贸有限公司,8千-1.2万,郑州-中原,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,6
大数据分析师,北京中京翼科技有限公司,8千-1.2万,新乡-红旗区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,5
大数据分析师管培生,北京杉汇商贸有限公司,9千-1.5万,郑州-二七区,不限,9000,15000,大专,民营 ,20-99人 ,20,河南,12000,20,20,4
大数据分析师（实习生）,北京顺意天达供应链管理有限公司,6千-8千,鹤壁-淇滨区,不限,6000,8000,大专,民营 ,20-99人 ,20,河南,7000,20,20,6
大数据分析师,北京金照商贸有限公司,8千-1.2万,郑州-二七区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,5
